,price_eur_mwh,country_code,data_source,data_type,fetch_timestamp
2025-08-10 20:00:00+01:00,130.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-10 21:00:00+01:00,136.87,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-10 22:00:00+01:00,112.98,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-10 23:00:00+01:00,109.7,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 00:00:00+01:00,100.43,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 01:00:00+01:00,100.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 02:00:00+01:00,99.89,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 03:00:00+01:00,99.18,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 04:00:00+01:00,99.89,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 05:00:00+01:00,99.65,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 06:00:00+01:00,105.43,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 07:00:00+01:00,100.61,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 08:00:00+01:00,63.6,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 09:00:00+01:00,45.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 10:00:00+01:00,22.51,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 11:00:00+01:00,15.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 12:00:00+01:00,15.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 13:00:00+01:00,10.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 14:00:00+01:00,9.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 15:00:00+01:00,44.5,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 16:00:00+01:00,57.97,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 17:00:00+01:00,90.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 18:00:00+01:00,111.24,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
